production_order_id,supplier_id,supplier_name,material_id,material_name,required_qty,production_date
PROD535,SUP002,BetaMetals,MAT102,Steel Plate,19,2024-02-05
PROD536,SUP003,CoreSteel,MAT101,Steel Rod,23,2024-02-06
PROD537,SUP001,AlphaSteel,MAT103,Steel Bar,11,2024-02-07
PROD538,SUP001,AlphaSteel,MAT102,Steel Plate,32,2024-02-08
PROD539,SUP005,PrimeSteel,MAT103,Steel Bar,19,2024-02-09
PROD540,SUP002,BetaMetals,MAT100,Steel Coil,40,2024-02-10
PROD541,SUP004,DeltaIron,MAT104,Steel Sheet,59,2024-02-11
PROD542,SUP004,DeltaIron,MAT103,Steel Bar,87,2024-02-12
PROD543,SUP005,PrimeSteel,MAT101,Steel Rod,52,2024-02-13
PROD544,SUP001,AlphaSteel,MAT103,Steel Bar,57,2024-02-14
PROD545,SUP005,PrimeSteel,MAT102,Steel Plate,92,2024-02-15
PROD546,SUP005,PrimeSteel,MAT101,Steel Rod,42,2024-02-16
PROD547,SUP001,AlphaSteel,MAT101,Steel Rod,92,2024-02-17
PROD548,SUP004,DeltaIron,MAT103,Steel Bar,57,2024-02-18
PROD549,SUP003,CoreSteel,MAT100,Steel Coil,22,2024-02-19
PROD550,SUP001,AlphaSteel,MAT102,Steel Plate,55,2024-02-20
PROD551,SUP002,BetaMetals,MAT100,Steel Coil,80,2024-02-21
PROD552,SUP005,PrimeSteel,MAT104,Steel Sheet,91,2024-02-22
PROD553,SUP005,PrimeSteel,MAT101,Steel Rod,68,2024-02-23
PROD554,SUP004,DeltaIron,MAT101,Steel Rod,65,2024-02-24
PROD555,SUP002,BetaMetals,MAT101,Steel Rod,27,2024-02-25
PROD556,SUP004,DeltaIron,MAT100,Steel Coil,34,2024-02-26
PROD557,SUP001,AlphaSteel,MAT100,Steel Coil,74,2024-02-27
PROD558,SUP003,CoreSteel,MAT100,Steel Coil,46,2024-02-28
PROD559,SUP005,PrimeSteel,MAT103,Steel Bar,72,2024-02-29
PROD560,SUP003,CoreSteel,MAT101,Steel Rod,90,2024-03-01
PROD561,SUP002,BetaMetals,MAT102,Steel Plate,65,2024-03-02
PROD562,SUP002,BetaMetals,MAT101,Steel Rod,30,2024-03-03
PROD563,SUP003,CoreSteel,MAT101,Steel Rod,41,2024-03-04
PROD564,SUP003,CoreSteel,MAT102,Steel Plate,20,2024-03-05
PROD565,SUP001,AlphaSteel,MAT102,Steel Plate,51,2024-03-06
PROD566,SUP001,AlphaSteel,MAT101,Steel Rod,89,2024-03-07
PROD567,SUP003,CoreSteel,MAT101,Steel Rod,88,2024-03-08
PROD568,SUP001,AlphaSteel,MAT100,Steel Coil,85,2024-03-09
PROD569,SUP002,BetaMetals,MAT101,Steel Rod,42,2024-03-10
PROD570,SUP005,PrimeSteel,MAT102,Steel Plate,71,2024-03-11
PROD571,SUP001,AlphaSteel,MAT102,Steel Plate,40,2024-03-12
PROD572,SUP002,BetaMetals,MAT100,Steel Coil,81,2024-03-13
PROD573,SUP003,CoreSteel,MAT101,Steel Rod,64,2024-03-14
PROD574,SUP003,CoreSteel,MAT101,Steel Rod,87,2024-03-15
PROD575,SUP002,BetaMetals,MAT102,Steel Plate,64,2024-03-16
PROD576,SUP002,BetaMetals,MAT101,Steel Rod,17,2024-03-17
PROD577,SUP002,BetaMetals,MAT104,Steel Sheet,98,2024-03-18
PROD578,SUP003,CoreSteel,MAT104,Steel Sheet,51,2024-03-19
PROD579,SUP002,BetaMetals,MAT101,Steel Rod,75,2024-03-20
PROD580,SUP002,BetaMetals,MAT100,Steel Coil,37,2024-03-21
PROD581,SUP005,PrimeSteel,MAT102,Steel Plate,89,2024-03-22
PROD582,SUP004,DeltaIron,MAT103,Steel Bar,80,2024-03-23
PROD583,SUP003,CoreSteel,MAT101,Steel Rod,37,2024-03-24
PROD584,SUP003,CoreSteel,MAT103,Steel Bar,12,2024-03-25
PROD585,SUP001,AlphaSteel,MAT103,Steel Bar,33,2024-03-26
PROD586,SUP003,CoreSteel,MAT100,Steel Coil,57,2024-03-27
PROD587,SUP003,CoreSteel,MAT103,Steel Bar,70,2024-03-28
PROD588,SUP004,DeltaIron,MAT104,Steel Sheet,89,2024-03-29
PROD589,SUP003,CoreSteel,MAT100,Steel Coil,10,2024-03-30
PROD590,SUP002,BetaMetals,MAT101,Steel Rod,47,2024-03-31
PROD591,SUP005,PrimeSteel,MAT104,Steel Sheet,93,2024-04-01
PROD592,SUP004,DeltaIron,MAT101,Steel Rod,82,2024-04-02
PROD593,SUP005,PrimeSteel,MAT103,Steel Bar,80,2024-04-03
PROD594,SUP004,DeltaIron,MAT104,Steel Sheet,64,2024-04-04
PROD595,SUP004,DeltaIron,MAT103,Steel Bar,20,2024-04-05
PROD596,SUP003,CoreSteel,MAT104,Steel Sheet,31,2024-04-06
PROD597,SUP001,AlphaSteel,MAT101,Steel Rod,64,2024-04-07
PROD598,SUP004,DeltaIron,MAT100,Steel Coil,78,2024-04-08
PROD599,SUP005,PrimeSteel,MAT101,Steel Rod,19,2024-04-09
PROD600,SUP005,PrimeSteel,MAT104,Steel Sheet,78,2024-04-10
PROD601,SUP004,DeltaIron,MAT100,Steel Coil,17,2024-04-11
PROD602,SUP005,PrimeSteel,MAT103,Steel Bar,24,2024-04-12
PROD603,SUP003,CoreSteel,MAT100,Steel Coil,58,2024-04-13
PROD604,SUP005,PrimeSteel,MAT100,Steel Coil,52,2024-04-14
PROD605,SUP005,PrimeSteel,MAT100,Steel Coil,63,2024-04-15
PROD606,SUP005,PrimeSteel,MAT102,Steel Plate,64,2024-04-16
PROD607,SUP002,BetaMetals,MAT100,Steel Coil,97,2024-04-17
PROD608,SUP001,AlphaSteel,MAT104,Steel Sheet,96,2024-04-18
PROD609,SUP001,AlphaSteel,MAT102,Steel Plate,66,2024-04-19
PROD610,SUP004,DeltaIron,MAT103,Steel Bar,94,2024-04-20
PROD611,SUP003,CoreSteel,MAT104,Steel Sheet,64,2024-04-21
PROD612,SUP003,CoreSteel,MAT102,Steel Plate,97,2024-04-22
PROD613,SUP001,AlphaSteel,MAT104,Steel Sheet,30,2024-04-23
PROD614,SUP003,CoreSteel,MAT101,Steel Rod,70,2024-04-24
PROD615,SUP005,PrimeSteel,MAT101,Steel Rod,33,2024-04-25
PROD616,SUP005,PrimeSteel,MAT102,Steel Plate,58,2024-04-26
PROD617,SUP001,AlphaSteel,MAT100,Steel Coil,10,2024-04-27
PROD618,SUP001,AlphaSteel,MAT103,Steel Bar,98,2024-04-28
PROD619,SUP001,AlphaSteel,MAT104,Steel Sheet,21,2024-04-29
PROD620,SUP005,PrimeSteel,MAT103,Steel Bar,10,2024-04-30
PROD621,SUP003,CoreSteel,MAT100,Steel Coil,80,2024-05-01
PROD622,SUP001,AlphaSteel,MAT102,Steel Plate,33,2024-05-02
PROD623,SUP002,BetaMetals,MAT100,Steel Coil,36,2024-05-03
PROD624,SUP005,PrimeSteel,MAT103,Steel Bar,91,2024-05-04
PROD625,SUP002,BetaMetals,MAT103,Steel Bar,61,2024-05-05
PROD626,SUP003,CoreSteel,MAT103,Steel Bar,75,2024-05-06
PROD627,SUP004,DeltaIron,MAT104,Steel Sheet,37,2024-05-07
PROD628,SUP003,CoreSteel,MAT102,Steel Plate,41,2024-05-08
PROD629,SUP003,CoreSteel,MAT102,Steel Plate,10,2024-05-09
PROD630,SUP001,AlphaSteel,MAT101,Steel Rod,49,2024-05-10
PROD631,SUP001,AlphaSteel,MAT103,Steel Bar,72,2024-05-11
PROD632,SUP001,AlphaSteel,MAT101,Steel Rod,95,2024-05-12
PROD633,SUP004,DeltaIron,MAT100,Steel Coil,89,2024-05-13
PROD634,SUP004,DeltaIron,MAT103,Steel Bar,11,2024-05-14
PROD635,SUP004,DeltaIron,MAT100,Steel Coil,20,2024-05-15
PROD636,SUP001,AlphaSteel,MAT102,Steel Plate,32,2024-05-16
PROD637,SUP003,CoreSteel,MAT104,Steel Sheet,33,2024-05-17
PROD638,SUP005,PrimeSteel,MAT100,Steel Coil,44,2024-05-18
PROD639,SUP001,AlphaSteel,MAT100,Steel Coil,61,2024-05-19
PROD640,SUP004,DeltaIron,MAT101,Steel Rod,55,2024-05-20
PROD641,SUP002,BetaMetals,MAT104,Steel Sheet,37,2024-05-21
PROD642,SUP001,AlphaSteel,MAT101,Steel Rod,68,2024-05-22
PROD643,SUP005,PrimeSteel,MAT103,Steel Bar,30,2024-05-23
PROD644,SUP002,BetaMetals,MAT103,Steel Bar,19,2024-05-24
PROD645,SUP005,PrimeSteel,MAT102,Steel Plate,28,2024-05-25
PROD646,SUP002,BetaMetals,MAT104,Steel Sheet,52,2024-05-26
PROD647,SUP003,CoreSteel,MAT104,Steel Sheet,11,2024-05-27
PROD648,SUP005,PrimeSteel,MAT102,Steel Plate,66,2024-05-28
PROD649,SUP001,AlphaSteel,MAT101,Steel Rod,27,2024-05-29
PROD650,SUP002,BetaMetals,MAT101,Steel Rod,17,2024-05-30
PROD651,SUP002,BetaMetals,MAT101,Steel Rod,74,2024-05-31
PROD652,SUP001,AlphaSteel,MAT101,Steel Rod,80,2024-06-01
PROD653,SUP001,AlphaSteel,MAT100,Steel Coil,66,2024-06-02
PROD654,SUP004,DeltaIron,MAT103,Steel Bar,29,2024-06-03
PROD655,SUP004,DeltaIron,MAT103,Steel Bar,52,2024-06-04
PROD656,SUP001,AlphaSteel,MAT102,Steel Plate,76,2024-06-05
PROD657,SUP003,CoreSteel,MAT100,Steel Coil,63,2024-06-06
PROD658,SUP005,PrimeSteel,MAT103,Steel Bar,67,2024-06-07
PROD659,SUP005,PrimeSteel,MAT102,Steel Plate,36,2024-06-08
PROD660,SUP001,AlphaSteel,MAT104,Steel Sheet,62,2024-06-09
PROD661,SUP005,PrimeSteel,MAT104,Steel Sheet,70,2024-06-10
PROD662,SUP001,AlphaSteel,MAT101,Steel Rod,11,2024-06-11
PROD663,SUP003,CoreSteel,MAT100,Steel Coil,24,2024-06-12
PROD664,SUP005,PrimeSteel,MAT103,Steel Bar,86,2024-06-13
PROD665,SUP002,BetaMetals,MAT101,Steel Rod,49,2024-06-14
PROD666,SUP004,DeltaIron,MAT102,Steel Plate,59,2024-06-15
PROD667,SUP001,AlphaSteel,MAT104,Steel Sheet,23,2024-06-16
PROD668,SUP001,AlphaSteel,MAT102,Steel Plate,82,2024-06-17
PROD669,SUP002,BetaMetals,MAT104,Steel Sheet,18,2024-06-18
PROD670,SUP003,CoreSteel,MAT104,Steel Sheet,47,2024-06-19
PROD671,SUP004,DeltaIron,MAT104,Steel Sheet,77,2024-06-20
PROD672,SUP003,CoreSteel,MAT104,Steel Sheet,21,2024-06-21
PROD673,SUP003,CoreSteel,MAT100,Steel Coil,10,2024-06-22
PROD674,SUP002,BetaMetals,MAT103,Steel Bar,28,2024-06-23
PROD675,SUP001,AlphaSteel,MAT104,Steel Sheet,93,2024-06-24
PROD676,SUP003,CoreSteel,MAT103,Steel Bar,17,2024-06-25
PROD677,SUP003,CoreSteel,MAT101,Steel Rod,95,2024-06-26
PROD678,SUP005,PrimeSteel,MAT101,Steel Rod,29,2024-06-27
PROD679,SUP003,CoreSteel,MAT104,Steel Sheet,41,2024-06-28
PROD680,SUP001,AlphaSteel,MAT101,Steel Rod,32,2024-06-29
PROD681,SUP004,DeltaIron,MAT100,Steel Coil,31,2024-06-30
PROD682,SUP005,PrimeSteel,MAT100,Steel Coil,85,2024-07-01
PROD683,SUP002,BetaMetals,MAT100,Steel Coil,54,2024-07-02
PROD684,SUP002,BetaMetals,MAT100,Steel Coil,11,2024-07-03
PROD685,SUP003,CoreSteel,MAT100,Steel Coil,82,2024-07-04
PROD686,SUP003,CoreSteel,MAT104,Steel Sheet,18,2024-07-05
PROD687,SUP005,PrimeSteel,MAT101,Steel Rod,89,2024-07-06
PROD688,SUP005,PrimeSteel,MAT101,Steel Rod,87,2024-07-07
PROD689,SUP001,AlphaSteel,MAT101,Steel Rod,25,2024-07-08
PROD690,SUP004,DeltaIron,MAT104,Steel Sheet,26,2024-07-09
PROD691,SUP005,PrimeSteel,MAT102,Steel Plate,41,2024-07-10
PROD692,SUP005,PrimeSteel,MAT103,Steel Bar,97,2024-07-11
PROD693,SUP004,DeltaIron,MAT104,Steel Sheet,11,2024-07-12
PROD694,SUP004,DeltaIron,MAT104,Steel Sheet,63,2024-07-13
PROD695,SUP001,AlphaSteel,MAT100,Steel Coil,76,2024-07-14
PROD696,SUP003,CoreSteel,MAT102,Steel Plate,20,2024-07-15
PROD697,SUP003,CoreSteel,MAT101,Steel Rod,76,2024-07-16
PROD698,SUP005,PrimeSteel,MAT101,Steel Rod,93,2024-07-17
PROD699,SUP001,AlphaSteel,MAT104,Steel Sheet,74,2024-07-18
PROD700,SUP002,BetaMetals,MAT102,Steel Plate,95,2024-07-19
PROD701,SUP004,DeltaIron,MAT100,Steel Coil,70,2024-07-20
PROD702,SUP005,PrimeSteel,MAT102,Steel Plate,44,2024-07-21
PROD703,SUP001,AlphaSteel,MAT103,Steel Bar,48,2024-07-22
PROD704,SUP004,DeltaIron,MAT103,Steel Bar,63,2024-07-23
PROD705,SUP002,BetaMetals,MAT104,Steel Sheet,77,2024-07-24
PROD706,SUP003,CoreSteel,MAT101,Steel Rod,49,2024-07-25
PROD707,SUP005,PrimeSteel,MAT103,Steel Bar,16,2024-07-26
PROD708,SUP002,BetaMetals,MAT104,Steel Sheet,97,2024-07-27
PROD709,SUP005,PrimeSteel,MAT103,Steel Bar,20,2024-07-28
PROD710,SUP002,BetaMetals,MAT100,Steel Coil,28,2024-07-29
PROD711,SUP003,CoreSteel,MAT100,Steel Coil,67,2024-07-30
PROD712,SUP003,CoreSteel,MAT102,Steel Plate,13,2024-07-31
PROD713,SUP003,CoreSteel,MAT103,Steel Bar,75,2024-08-01
PROD714,SUP003,CoreSteel,MAT102,Steel Plate,46,2024-08-02
PROD715,SUP005,PrimeSteel,MAT103,Steel Bar,89,2024-08-03
PROD716,SUP002,BetaMetals,MAT102,Steel Plate,20,2024-08-04
PROD717,SUP003,CoreSteel,MAT103,Steel Bar,21,2024-08-05
PROD718,SUP004,DeltaIron,MAT104,Steel Sheet,55,2024-08-06
PROD719,SUP002,BetaMetals,MAT102,Steel Plate,83,2024-08-07
PROD720,SUP005,PrimeSteel,MAT101,Steel Rod,16,2024-08-08
PROD721,SUP002,BetaMetals,MAT103,Steel Bar,59,2024-08-09
PROD722,SUP004,DeltaIron,MAT100,Steel Coil,70,2024-08-10
PROD723,SUP005,PrimeSteel,MAT102,Steel Plate,89,2024-08-11
PROD724,SUP005,PrimeSteel,MAT103,Steel Bar,52,2024-08-12
PROD725,SUP002,BetaMetals,MAT103,Steel Bar,16,2024-08-13
PROD726,SUP002,BetaMetals,MAT100,Steel Coil,54,2024-08-14
PROD727,SUP001,AlphaSteel,MAT103,Steel Bar,90,2024-08-15
PROD728,SUP002,BetaMetals,MAT100,Steel Coil,26,2024-08-16
PROD729,SUP003,CoreSteel,MAT102,Steel Plate,60,2024-08-17
PROD730,SUP004,DeltaIron,MAT103,Steel Bar,81,2024-08-18
PROD731,SUP001,AlphaSteel,MAT103,Steel Bar,67,2024-08-19
PROD732,SUP002,BetaMetals,MAT104,Steel Sheet,63,2024-08-20
PROD733,SUP001,AlphaSteel,MAT100,Steel Coil,38,2024-08-21
PROD734,SUP004,DeltaIron,MAT102,Steel Plate,20,2024-08-22
PROD735,SUP001,AlphaSteel,MAT103,Steel Bar,33,2024-08-23
PROD736,SUP005,PrimeSteel,MAT102,Steel Plate,72,2024-08-24
PROD737,SUP003,CoreSteel,MAT100,Steel Coil,98,2024-08-25
PROD738,SUP002,BetaMetals,MAT104,Steel Sheet,48,2024-08-26
PROD739,SUP005,PrimeSteel,MAT102,Steel Plate,17,2024-08-27
PROD740,SUP005,PrimeSteel,MAT103,Steel Bar,62,2024-08-28
PROD741,SUP005,PrimeSteel,MAT100,Steel Coil,75,2024-08-29
PROD742,SUP001,AlphaSteel,MAT103,Steel Bar,71,2024-08-30
PROD743,SUP004,DeltaIron,MAT102,Steel Plate,12,2024-08-31
PROD744,SUP004,DeltaIron,MAT101,Steel Rod,96,2024-09-01
PROD745,SUP001,AlphaSteel,MAT104,Steel Sheet,49,2024-09-02
PROD746,SUP003,CoreSteel,MAT102,Steel Plate,73,2024-09-03
PROD747,SUP004,DeltaIron,MAT100,Steel Coil,50,2024-09-04
PROD748,SUP004,DeltaIron,MAT101,Steel Rod,88,2024-09-05
PROD749,SUP004,DeltaIron,MAT104,Steel Sheet,96,2024-09-06
PROD750,SUP001,AlphaSteel,MAT104,Steel Sheet,14,2024-09-07
PROD751,SUP001,AlphaSteel,MAT101,Steel Rod,21,2024-09-08
PROD752,SUP003,CoreSteel,MAT102,Steel Plate,52,2024-09-09
PROD753,SUP002,BetaMetals,MAT103,Steel Bar,35,2024-09-10
PROD754,SUP002,BetaMetals,MAT103,Steel Bar,19,2024-09-11
PROD755,SUP003,CoreSteel,MAT102,Steel Plate,59,2024-09-12
PROD756,SUP005,PrimeSteel,MAT101,Steel Rod,99,2024-09-13
PROD757,SUP003,CoreSteel,MAT104,Steel Sheet,86,2024-09-14
PROD758,SUP001,AlphaSteel,MAT101,Steel Rod,48,2024-09-15
PROD759,SUP003,CoreSteel,MAT104,Steel Sheet,59,2024-09-16
PROD760,SUP004,DeltaIron,MAT103,Steel Bar,45,2024-09-17
PROD761,SUP002,BetaMetals,MAT101,Steel Rod,67,2024-09-18
PROD762,SUP005,PrimeSteel,MAT104,Steel Sheet,64,2024-09-19
PROD763,SUP003,CoreSteel,MAT103,Steel Bar,60,2024-09-20
PROD764,SUP004,DeltaIron,MAT102,Steel Plate,33,2024-09-21
PROD765,SUP002,BetaMetals,MAT101,Steel Rod,53,2024-09-22
PROD766,SUP005,PrimeSteel,MAT101,Steel Rod,40,2024-09-23
PROD767,SUP005,PrimeSteel,MAT104,Steel Sheet,13,2024-09-24
PROD768,SUP002,BetaMetals,MAT101,Steel Rod,71,2024-09-25
PROD769,SUP003,CoreSteel,MAT103,Steel Bar,33,2024-09-26
PROD770,SUP003,CoreSteel,MAT100,Steel Coil,13,2024-09-27
PROD771,SUP003,CoreSteel,MAT102,Steel Plate,63,2024-09-28
PROD772,SUP001,AlphaSteel,MAT104,Steel Sheet,22,2024-09-29
PROD773,SUP003,CoreSteel,MAT101,Steel Rod,84,2024-09-30
PROD774,SUP001,AlphaSteel,MAT100,Steel Coil,67,2024-10-01
PROD775,SUP003,CoreSteel,MAT101,Steel Rod,69,2024-10-02
PROD776,SUP001,AlphaSteel,MAT101,Steel Rod,43,2024-10-03
PROD777,SUP005,PrimeSteel,MAT101,Steel Rod,99,2024-10-04
PROD778,SUP001,AlphaSteel,MAT103,Steel Bar,56,2024-10-05
PROD779,SUP001,AlphaSteel,MAT103,Steel Bar,19,2024-10-06
PROD780,SUP005,PrimeSteel,MAT101,Steel Rod,14,2024-10-07
PROD781,SUP003,CoreSteel,MAT100,Steel Coil,70,2024-10-08
PROD782,SUP004,DeltaIron,MAT104,Steel Sheet,41,2024-10-09
PROD783,SUP005,PrimeSteel,MAT102,Steel Plate,10,2024-10-10
PROD784,SUP001,AlphaSteel,MAT100,Steel Coil,98,2024-10-11
PROD785,SUP004,DeltaIron,MAT104,Steel Sheet,17,2024-10-12
PROD786,SUP003,CoreSteel,MAT102,Steel Plate,23,2024-10-13
PROD787,SUP003,CoreSteel,MAT102,Steel Plate,21,2024-10-14
PROD788,SUP003,CoreSteel,MAT100,Steel Coil,55,2024-10-15
PROD789,SUP005,PrimeSteel,MAT103,Steel Bar,73,2024-10-16
PROD790,SUP004,DeltaIron,MAT100,Steel Coil,95,2024-10-17
PROD791,SUP005,PrimeSteel,MAT102,Steel Plate,79,2024-10-18
PROD792,SUP001,AlphaSteel,MAT100,Steel Coil,40,2024-10-19
PROD793,SUP002,BetaMetals,MAT103,Steel Bar,78,2024-10-20
PROD794,SUP003,CoreSteel,MAT100,Steel Coil,77,2024-10-21
PROD795,SUP003,CoreSteel,MAT102,Steel Plate,79,2024-10-22
PROD796,SUP002,BetaMetals,MAT100,Steel Coil,66,2024-10-23
PROD797,SUP004,DeltaIron,MAT104,Steel Sheet,85,2024-10-24
PROD798,SUP005,PrimeSteel,MAT102,Steel Plate,86,2024-10-25
PROD799,SUP003,CoreSteel,MAT101,Steel Rod,24,2024-10-26
PROD800,SUP005,PrimeSteel,MAT100,Steel Coil,42,2024-10-27
PROD801,SUP004,DeltaIron,MAT100,Steel Coil,24,2024-10-28
PROD802,SUP002,BetaMetals,MAT102,Steel Plate,42,2024-10-29
PROD803,SUP001,AlphaSteel,MAT103,Steel Bar,97,2024-10-30
PROD804,SUP004,DeltaIron,MAT100,Steel Coil,58,2024-10-31
PROD805,SUP002,BetaMetals,MAT100,Steel Coil,25,2024-11-01
PROD806,SUP003,CoreSteel,MAT102,Steel Plate,95,2024-11-02
PROD807,SUP004,DeltaIron,MAT104,Steel Sheet,34,2024-11-03
PROD808,SUP003,CoreSteel,MAT102,Steel Plate,27,2024-11-04
PROD809,SUP003,CoreSteel,MAT103,Steel Bar,12,2024-11-05
PROD810,SUP001,AlphaSteel,MAT104,Steel Sheet,64,2024-11-06
PROD811,SUP003,CoreSteel,MAT100,Steel Coil,83,2024-11-07
PROD812,SUP004,DeltaIron,MAT104,Steel Sheet,35,2024-11-08
PROD813,SUP004,DeltaIron,MAT104,Steel Sheet,87,2024-11-09
PROD814,SUP001,AlphaSteel,MAT102,Steel Plate,38,2024-11-10
PROD815,SUP005,PrimeSteel,MAT103,Steel Bar,89,2024-11-11
PROD816,SUP004,DeltaIron,MAT100,Steel Coil,64,2024-11-12
PROD817,SUP002,BetaMetals,MAT101,Steel Rod,85,2024-11-13
PROD818,SUP004,DeltaIron,MAT103,Steel Bar,29,2024-11-14
PROD819,SUP002,BetaMetals,MAT102,Steel Plate,10,2024-11-15
PROD820,SUP001,AlphaSteel,MAT101,Steel Rod,62,2024-11-16
PROD821,SUP003,CoreSteel,MAT100,Steel Coil,71,2024-11-17
PROD822,SUP004,DeltaIron,MAT103,Steel Bar,94,2024-11-18
PROD823,SUP005,PrimeSteel,MAT101,Steel Rod,50,2024-11-19
PROD824,SUP001,AlphaSteel,MAT100,Steel Coil,87,2024-11-20
PROD825,SUP001,AlphaSteel,MAT102,Steel Plate,61,2024-11-21
PROD826,SUP002,BetaMetals,MAT102,Steel Plate,12,2024-11-22
PROD827,SUP005,PrimeSteel,MAT104,Steel Sheet,30,2024-11-23
PROD828,SUP003,CoreSteel,MAT104,Steel Sheet,76,2024-11-24
PROD829,SUP005,PrimeSteel,MAT102,Steel Plate,28,2024-11-25
PROD830,SUP005,PrimeSteel,MAT103,Steel Bar,45,2024-11-26
PROD831,SUP002,BetaMetals,MAT103,Steel Bar,79,2024-11-27
PROD832,SUP003,CoreSteel,MAT103,Steel Bar,84,2024-11-28
PROD833,SUP002,BetaMetals,MAT103,Steel Bar,68,2024-11-29
PROD834,SUP003,CoreSteel,MAT104,Steel Sheet,62,2024-11-30
PROD835,SUP004,DeltaIron,MAT103,Steel Bar,36,2024-12-01
PROD836,SUP001,AlphaSteel,MAT104,Steel Sheet,76,2024-12-02
PROD837,SUP004,DeltaIron,MAT104,Steel Sheet,66,2024-12-03
PROD838,SUP001,AlphaSteel,MAT100,Steel Coil,59,2024-12-04
PROD839,SUP004,DeltaIron,MAT104,Steel Sheet,63,2024-12-05
PROD840,SUP005,PrimeSteel,MAT104,Steel Sheet,16,2024-12-06
PROD841,SUP001,AlphaSteel,MAT104,Steel Sheet,43,2024-12-07
PROD842,SUP003,CoreSteel,MAT103,Steel Bar,40,2024-12-08
PROD843,SUP003,CoreSteel,MAT103,Steel Bar,82,2024-12-09
PROD844,SUP002,BetaMetals,MAT104,Steel Sheet,49,2024-12-10
PROD845,SUP005,PrimeSteel,MAT100,Steel Coil,20,2024-12-11
PROD846,SUP004,DeltaIron,MAT101,Steel Rod,52,2024-12-12
PROD847,SUP004,DeltaIron,MAT102,Steel Plate,53,2024-12-13
PROD848,SUP005,PrimeSteel,MAT103,Steel Bar,74,2024-12-14
PROD849,SUP003,CoreSteel,MAT100,Steel Coil,39,2024-12-15
PROD850,SUP004,DeltaIron,MAT101,Steel Rod,84,2024-12-16
PROD851,SUP001,AlphaSteel,MAT104,Steel Sheet,45,2024-12-17
PROD852,SUP005,PrimeSteel,MAT103,Steel Bar,23,2024-12-18
PROD853,SUP001,AlphaSteel,MAT100,Steel Coil,16,2024-12-19
PROD854,SUP004,DeltaIron,MAT104,Steel Sheet,87,2024-12-20
PROD855,SUP001,AlphaSteel,MAT101,Steel Rod,64,2024-12-21
PROD856,SUP005,PrimeSteel,MAT104,Steel Sheet,60,2024-12-22
PROD857,SUP002,BetaMetals,MAT104,Steel Sheet,67,2024-12-23
PROD858,SUP002,BetaMetals,MAT103,Steel Bar,12,2024-12-24
PROD859,SUP005,PrimeSteel,MAT104,Steel Sheet,77,2024-12-25
