supplier_id,supplier_name,material_id,material_name,current_stock,daily_consumption,safety_stock,last_updated
SUP004,DeltaIron,MAT102,Steel Plate,355,12,199,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,425,35,144,2024-01-15
SUP002,BetaMetals,MAT101,Steel Rod,443,23,146,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,156,26,118,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,239,19,199,2024-01-15
SUP003,CoreSteel,MAT102,Steel Plate,163,35,99,2024-01-15
SUP004,DeltaIron,MAT100,Steel Coil,314,7,104,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,419,10,112,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,218,25,117,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,417,17,151,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,274,29,163,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,139,29,164,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,470,12,178,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,232,29,190,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,242,13,140,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,346,31,154,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,178,22,188,2024-01-15
SUP003,CoreSteel,MAT102,Steel Plate,72,13,144,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,348,20,194,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,59,8,107,2024-01-15
SUP001,AlphaSteel,MAT103,Steel Bar,181,22,154,2024-01-15
SUP003,CoreSteel,MAT104,Steel Sheet,392,36,137,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,459,27,150,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,273,10,95,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,66,25,100,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,217,11,166,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,145,37,101,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,313,20,121,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,328,37,155,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,370,12,118,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,76,9,91,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,152,25,118,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,403,7,117,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,431,27,112,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,375,17,121,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,280,36,130,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,250,14,101,2024-01-15
SUP004,DeltaIron,MAT102,Steel Plate,428,7,111,2024-01-15
SUP002,BetaMetals,MAT101,Steel Rod,293,32,101,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,101,7,163,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,83,23,192,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,286,36,155,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,397,38,183,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,472,5,124,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,106,16,139,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,451,21,175,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,476,34,136,2024-01-15
SUP003,CoreSteel,MAT104,Steel Sheet,316,17,90,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,313,36,118,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,55,19,169,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,209,15,132,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,370,20,197,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,252,32,184,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,128,18,160,2024-01-15
SUP003,CoreSteel,MAT104,Steel Sheet,339,33,194,2024-01-15
SUP003,CoreSteel,MAT102,Steel Plate,427,11,80,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,282,27,169,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,236,8,172,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,295,32,171,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,198,20,96,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,54,15,137,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,231,38,175,2024-01-15
SUP002,BetaMetals,MAT101,Steel Rod,233,24,160,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,82,7,105,2024-01-15
SUP003,CoreSteel,MAT104,Steel Sheet,486,15,165,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,98,9,103,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,174,15,189,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,239,33,155,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,124,23,136,2024-01-15
SUP002,BetaMetals,MAT101,Steel Rod,210,39,116,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,428,6,194,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,446,26,104,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,249,10,109,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,395,15,83,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,195,21,102,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,254,31,160,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,171,9,176,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,374,19,153,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,63,36,154,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,333,35,130,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,156,22,143,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,450,10,145,2024-01-15
SUP001,AlphaSteel,MAT103,Steel Bar,272,17,85,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,252,11,118,2024-01-15
SUP004,DeltaIron,MAT100,Steel Coil,373,34,124,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,146,35,131,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,475,36,153,2024-01-15
SUP004,DeltaIron,MAT100,Steel Coil,429,17,126,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,354,5,93,2024-01-15
SUP003,CoreSteel,MAT102,Steel Plate,327,6,144,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,499,31,143,2024-01-15
SUP004,DeltaIron,MAT102,Steel Plate,254,34,118,2024-01-15
SUP004,DeltaIron,MAT100,Steel Coil,73,33,159,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,103,13,116,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,314,24,128,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,312,23,105,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,343,29,171,2024-01-15
SUP004,DeltaIron,MAT102,Steel Plate,303,10,181,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,350,39,151,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,372,14,182,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,54,30,91,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,252,35,111,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,298,19,127,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,182,39,199,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,256,32,155,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,464,18,163,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,430,9,151,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,414,17,109,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,255,21,173,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,82,32,123,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,75,25,141,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,282,17,198,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,464,24,149,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,65,7,146,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,75,26,136,2024-01-15
SUP002,BetaMetals,MAT101,Steel Rod,470,16,123,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,382,11,159,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,490,14,178,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,465,10,130,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,444,8,194,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,300,16,170,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,216,26,196,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,223,21,102,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,377,39,84,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,202,30,108,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,296,14,146,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,91,5,142,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,492,34,194,2024-01-15
SUP003,CoreSteel,MAT104,Steel Sheet,210,12,136,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,206,22,192,2024-01-15
SUP004,DeltaIron,MAT102,Steel Plate,273,5,120,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,115,29,110,2024-01-15
SUP002,BetaMetals,MAT101,Steel Rod,50,29,195,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,476,25,132,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,97,15,137,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,201,6,120,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,182,21,86,2024-01-15
SUP003,CoreSteel,MAT104,Steel Sheet,420,22,167,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,127,12,81,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,227,21,138,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,486,39,123,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,329,32,105,2024-01-15
SUP001,AlphaSteel,MAT103,Steel Bar,265,12,153,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,412,23,102,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,181,35,157,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,88,34,95,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,109,10,89,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,322,31,131,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,342,12,161,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,200,10,139,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,456,9,105,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,351,33,198,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,393,17,168,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,180,28,120,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,92,7,93,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,272,8,186,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,433,11,147,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,254,10,193,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,234,28,146,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,211,17,185,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,486,22,123,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,336,18,175,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,322,16,170,2024-01-15
SUP003,CoreSteel,MAT102,Steel Plate,190,32,161,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,317,37,144,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,85,25,102,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,354,28,187,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,386,27,90,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,238,24,195,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,216,17,187,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,410,31,86,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,159,30,174,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,347,6,143,2024-01-15
SUP004,DeltaIron,MAT100,Steel Coil,131,22,173,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,227,11,149,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,377,14,153,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,181,20,83,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,299,11,167,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,147,31,192,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,111,34,111,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,415,13,150,2024-01-15
SUP004,DeltaIron,MAT102,Steel Plate,388,18,178,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,210,37,93,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,286,26,169,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,438,12,120,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,233,29,118,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,421,36,113,2024-01-15
SUP001,AlphaSteel,MAT103,Steel Bar,408,39,81,2024-01-15
SUP001,AlphaSteel,MAT103,Steel Bar,161,18,88,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,380,35,114,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,68,13,119,2024-01-15
SUP003,CoreSteel,MAT103,Steel Bar,201,36,125,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,124,16,175,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,232,15,198,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,163,16,170,2024-01-15
SUP004,DeltaIron,MAT102,Steel Plate,139,20,166,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,345,31,98,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,101,27,146,2024-01-15
SUP003,CoreSteel,MAT102,Steel Plate,163,27,122,2024-01-15
SUP004,DeltaIron,MAT100,Steel Coil,116,18,155,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,227,33,177,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,128,25,157,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,477,8,187,2024-01-15
SUP002,BetaMetals,MAT101,Steel Rod,285,35,196,2024-01-15
SUP001,AlphaSteel,MAT103,Steel Bar,334,21,198,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,87,14,163,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,308,6,188,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,483,29,114,2024-01-15
SUP002,BetaMetals,MAT101,Steel Rod,428,33,139,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,82,34,92,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,77,24,82,2024-01-15
SUP004,DeltaIron,MAT102,Steel Plate,488,14,184,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,140,25,128,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,362,25,150,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,137,14,196,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,174,18,190,2024-01-15
SUP004,DeltaIron,MAT100,Steel Coil,73,20,182,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,405,33,173,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,457,7,198,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,99,10,126,2024-01-15
SUP004,DeltaIron,MAT102,Steel Plate,340,15,115,2024-01-15
SUP003,CoreSteel,MAT104,Steel Sheet,229,25,139,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,469,23,89,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,114,26,137,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,219,25,153,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,315,31,81,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,344,32,172,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,102,22,94,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,94,21,127,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,119,13,135,2024-01-15
SUP003,CoreSteel,MAT102,Steel Plate,451,22,136,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,333,11,110,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,181,21,132,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,415,28,143,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,200,17,105,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,168,21,163,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,255,26,132,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,129,7,151,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,374,27,135,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,388,16,104,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,388,32,138,2024-01-15
SUP002,BetaMetals,MAT104,Steel Sheet,466,25,181,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,467,34,163,2024-01-15
SUP003,CoreSteel,MAT102,Steel Plate,93,18,150,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,198,10,189,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,135,29,85,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,244,5,90,2024-01-15
SUP005,PrimeSteel,MAT101,Steel Rod,400,8,112,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,101,6,96,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,208,30,127,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,63,23,124,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,100,30,91,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,71,22,104,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,348,8,140,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,106,33,92,2024-01-15
